🍎 赤色
🎇 橙色
🍋 黄色
📗 緑色
🐳 青色
🔮 紫色
🐈‍⬛ 黒色
🐑 白色
🙆‍♂️ リアクション
🍞 パン
🍚 お米
🍖 お肉
🍜 ラーメン
🐟 お魚
🥬 野菜
🍓 果物
💊 お薬
🍫 チョコレート
🍬 アメ
🍛 大好物
🥤 ジュース
🍵 お茶
🐱 猫
🐶 犬
🐿 どうぶつ
🎮 ゲーム
👜 カバン
🖊 ペン
📔 ノート
🎧 音楽
🪕 普段は聴かない音楽
👛 お財布
💬 Discord
💻 パソコン
📱 携帯電話
📺 テレビ
🎞 動画
👕 シャツ
👚 お気に入りの服
👘 あまり着ない服
🚃 電車
🚙 車
🚓 パトカー
🚠 珍しい乗り物
🤝 人助け
🪟 窓
🏙 お昼
🌇 夕焼け
🌌 夜空
🗡 斬撃
🔨 打撃
🏹 射撃
😷 マスク
🧸 ぬいぐるみ
🎏 季節モノ
⏳ 3分
📻 レトロ
🚽 トイレ
🛀 お風呂
🚿 シャワー
💇‍♀️ 自分磨き
💓 ドキドキ
🔑 カギ
🔀 シャッフル再生
🔁 リピート再生
😎 ドヤ顔
😳 びっくり
😄 笑顔
🤔 考察
😆 わーい
😪 おねむ
🐕 お散歩
👦 キャラメイク
📹 配信
🍦 アイス
🕊️ SNS
📺 動画サイト
🎮 コントローラー
🦖 古代
📡 未来
📰 ニュース
🔮 占い
📗 紙の本
📙 電子書籍
🦀 カニ
🥛 牛乳
☖ ボードゲーム
👿 イタズラ
🦑 イカ
🐙 タコ
🐻 バイト
⌘ コマンド
